time,tank_level,valve_state
0,49.5,0
1,49.0,0
2,48.5,0
3,48.0,0
4,47.5,0
5,47.0,0
6,46.5,0
7,46.0,0
8,45.5,0
9,45.0,0
10,44.5,0
11,44.0,0
12,43.5,0
13,43.0,0
14,42.5,0
15,42.0,0
16,41.5,0
17,41.0,0
18,40.5,0
19,40.0,0
20,39.5,0
21,39.0,0
22,38.5,0
23,38.0,0
24,37.5,0
25,37.0,0
26,36.5,0
27,36.0,0
28,35.5,0
29,35.0,0
30,34.5,0
31,34.0,0
32,33.5,0
33,33.0,0
34,32.5,0
35,32.0,0
36,31.5,0
37,31.0,0
38,30.5,0
39,30.0,0
40,34.5,1
41,39.0,1
42,43.5,1
43,48.0,1
44,52.5,1
45,57.0,1
46,61.5,1
47,66.0,1
48,70.5,1
49,75.0,1
50,79.5,1
51,84.0,1
52,83.5,0
53,83.0,0
54,82.5,0
55,82.0,0
56,81.5,0
57,81.0,0
58,80.5,0
59,80.0,0
60,79.5,0
61,79.0,0
62,78.5,0
63,78.0,0
64,77.5,0
65,77.0,0
66,76.5,0
67,76.0,0
68,75.5,0
69,75.0,0
70,74.5,0
71,74.0,0
72,73.5,0
73,73.0,0
74,72.5,0
75,72.0,0
76,71.5,0
77,71.0,0
78,70.5,0
79,70.0,0
80,69.5,0
81,69.0,0
82,68.5,0
83,68.0,0
84,67.5,0
85,67.0,0
86,66.5,0
87,66.0,0
88,65.5,0
89,65.0,0
90,64.5,0
91,64.0,0
92,63.5,0
93,63.0,0
94,62.5,0
95,62.0,0
96,61.5,0
97,61.0,0
98,60.5,0
99,60.0,0
100,59.5,0
101,59.0,0
102,58.5,0
103,58.0,0
104,57.5,0
105,57.0,0
106,56.5,0
107,56.0,0
108,55.5,0
109,55.0,0
110,54.5,0
111,54.0,0
112,53.5,0
113,53.0,0
114,52.5,0
115,52.0,0
116,51.5,0
117,51.0,0
118,50.5,0
119,50.0,0
120,49.5,0
121,49.0,0
122,48.5,0
123,48.0,0
124,47.5,0
125,47.0,0
126,46.5,0
127,46.0,0
128,45.5,0
129,45.0,0
130,44.5,0
131,44.0,0
132,43.5,0
133,43.0,0
134,42.5,0
135,42.0,0
136,41.5,0
137,41.0,0
138,40.5,0
139,40.0,0
140,39.5,0
141,39.0,0
142,38.5,0
143,38.0,0
144,37.5,0
145,37.0,0
146,36.5,0
147,36.0,0
148,35.5,0
149,35.0,0
150,34.5,0
151,34.0,0
152,33.5,0
153,33.0,0
154,32.5,0
155,32.0,0
156,31.5,0
157,31.0,0
158,30.5,0
159,30.0,0
160,34.5,1
161,39.0,1
162,43.5,1
163,48.0,1
164,52.5,1
165,57.0,1
166,61.5,1
167,66.0,1
168,70.5,1
169,75.0,1
170,79.5,1
171,84.0,1
172,83.5,0
173,83.0,0
174,82.5,0
175,82.0,0
176,81.5,0
177,81.0,0
178,80.5,0
179,80.0,0
180,79.5,0
181,79.0,0
182,78.5,0
183,78.0,0
184,77.5,0
185,77.0,0
186,76.5,0
187,76.0,0
188,75.5,0
189,75.0,0
190,74.5,0
191,74.0,0
192,73.5,0
193,73.0,0
194,72.5,0
195,72.0,0
196,71.5,0
197,71.0,0
198,70.5,0
199,70.0,0
200,1000,0
201,500,0
202,750,0
203,1000,0
204,500,0
205,750,0
206,1000,0
207,500,0
208,750,0
209,1000,0
210,500,0
211,750,0
